scenario_id,source_path,queue_model_id,latency_model_id,hidden_ahead_multiplier,latency_multiplier,cancel_rate_multiplier,fill_status,filled_quantity,order_quantity,fill_fraction,markout_ticks_x2,statistical_status,interpretation
baseline,artifacts/execution-sensitivity/scenario_sweep.csv,visible_fifo_v1,fixed_latency_ns_v1,0,1,1,FULL,3,3,1.0,4.0,not_enough_data,synthetic scenario sensitivity only
hidden_ahead_x1,artifacts/execution-sensitivity/scenario_sweep.csv,visible_fifo_v1,fixed_latency_ns_v1,1,1,1,UNFILLED_CENSORED,0,3,0.0,,not_enough_data,synthetic scenario sensitivity only
latency_x4,artifacts/execution-sensitivity/scenario_sweep.csv,visible_fifo_v1,fixed_latency_ns_v1,0,4,1,UNFILLED_CENSORED,0,3,0.0,,not_enough_data,synthetic scenario sensitivity only
cancel_rate_x0_5,artifacts/execution-sensitivity/scenario_sweep.csv,visible_fifo_v1,fixed_latency_ns_v1,0,1,0.5,PARTIAL_CENSORED,1,3,0.333333,4.0,not_enough_data,synthetic scenario sensitivity only
