ablation_id,components,status,fair_value_source,bid,ask,quantity,note,source_path,quote_width,bid_shift_from_passive,ask_shift_from_passive,claim_policy
passive_fixed_spread,fixed_spread,QUOTE,interpolated_surface,6.8621281522386,6.9621281522386,1,deterministic_component_check_no_performance_or_return_claim,artifacts/policy-validation/ablation_table.csv,0.1,0.0,0.0,quote mechanics only; no return or fill-rate claim
fair_value_only,fair_value,QUOTE,interpolated_surface,6.8621281522386,6.9621281522386,1,deterministic_component_check_no_performance_or_return_claim,artifacts/policy-validation/ablation_table.csv,0.1,0.0,0.0,quote mechanics only; no return or fill-rate claim
inventory_skew,fair_value+inventory_skew,QUOTE,interpolated_surface,6.8321281522386,6.9321281522386,1,deterministic_component_check_no_performance_or_return_claim,artifacts/policy-validation/ablation_table.csv,0.1,-0.03,-0.03,quote mechanics only; no return or fill-rate claim
inventory_skew_risk_gates,fair_value+inventory_skew+risk_gates,QUOTE,interpolated_surface,6.8321281522386,6.9321281522386,1,deterministic_component_check_no_performance_or_return_claim,artifacts/policy-validation/ablation_table.csv,0.1,-0.03,-0.03,quote mechanics only; no return or fill-rate claim
inventory_skew_fill_adjusted,fair_value+inventory_skew+risk_gates+toxicity+fill_adjustment,QUOTE,interpolated_surface,6.8021281522386,6.9621281522386,1,deterministic_component_check_no_performance_or_return_claim,artifacts/policy-validation/ablation_table.csv,0.16,-0.06,0.0,quote mechanics only; no return or fill-rate claim
